PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Greystone Woods,White,2020-08-22 17:19,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Carolann,Greystone Woods,White,2020-08-22 17:19,79,21,4,6,6,4,4,4,3,3,6,4,5,4,4,6,3,5,4,4
Alex,Greystone Woods,White,2020-08-22 17:19,72,14,4,5,5,4,4,3,3,3,5,5,5,3,4,5,4,3,3,4
Par,Greystone Woods,White,2020-08-21 18:30,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-21 18:30,68,10,3,4,5,4,3,3,5,4,4,4,4,3,2,5,4,3,3,5
Par,Greystone Woods,White,2020-08-20 18:10,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-20 18:10,71,13,5,6,6,3,5,3,2,3,3,3,5,3,3,6,3,4,4,4
Carolann,Greystone Woods,White,2020-08-20 18:10,79,21,4,7,6,5,4,4,3,3,4,4,5,4,4,5,4,4,4,5
Par,Greystone Woods,White,2020-08-16 16:52,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-16 16:52,70,12,3,5,5,5,3,4,5,3,4,3,4,4,3,6,3,3,3,4
Carolann,Greystone Woods,White,2020-08-16 16:52,83,25,4,5,5,5,4,5,4,6,4,4,5,4,4,7,3,5,4,5
Par,Greystone Woods,White,2020-08-16 16:15,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-16 16:15,23,6,3,5,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Carolann,Greystone Woods,White,2020-08-16 16:15,28,11,4,7,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Par,Greystone Woods,White,2020-08-14 11:06,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-14 11:06,70,12,3,6,5,4,3,3,3,3,3,3,5,4,3,7,3,4,3,5
Carolann,Greystone Woods,White,2020-08-14 11:06,79,21,4,6,6,5,4,3,3,4,4,4,5,4,4,6,4,4,5,4
Par,Greystone Woods,White,2020-08-13 18:10,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-08-13 18:10,67,9,3,5,6,3,3,3,5,3,4,4,4,3,3,4,2,5,4,3
Alex,Greystone Woods,White,2020-08-13 18:10,72,14,5,5,5,5,3,4,2,4,4,3,5,4,3,5,3,4,4,4
Carolann,Greystone Woods,White,2020-08-13 18:10,81,23,5,6,7,5,3,4,4,4,4,3,5,4,6,6,3,4,4,4
Par,Greystone Woods,White,2020-08-11 16:30,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-11 16:30,74,16,3,7,5,5,4,3,5,5,3,3,4,4,3,5,4,4,3,4
Carolann,Greystone Woods,White,2020-08-11 16:30,77,19,4,6,6,5,4,3,3,3,5,4,5,4,4,6,3,4,4,4
Par,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-09 15:56,59,,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3
Alex,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-09 15:56,48,6,4,4,5,3,3,5,4,4,3,4,3,2,4,0,0,0,0,0
Carolann,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-09 15:56,59,17,5,4,4,5,4,5,6,4,4,5,4,4,5,0,0,0,0,0
Par,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-08 12:48,59,,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3
Justin,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-08 12:48,66,7,4,3,3,3,3,5,4,4,3,3,4,3,4,3,4,5,4,4
Alex,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-08 12:48,70,11,5,4,5,3,3,4,8,3,3,3,3,3,3,3,5,6,3,3
Dan,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-08 12:48,61,2,4,3,4,4,3,5,4,3,3,2,3,3,3,3,3,5,3,3
Leah,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-08 12:48,38,12,5,5,0,0,4,0,8,0,3,4,5,4,0,0,0,0,0,0
Carolann,Field of Dreams DGC,Short Tee to Yellow Basket,2020-08-08 12:48,78,19,4,4,4,3,4,5,7,4,3,4,4,4,4,4,5,7,4,4
Par,Greystone Woods,White,2020-08-08 10:31,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-08 10:31,21,2,0,0,5,5,2,3,3,3,0,0,0,0,0,0,0,0,0,0
Carolann,Greystone Woods,White,2020-08-08 10:31,27,8,0,0,6,6,4,4,3,4,0,0,0,0,0,0,0,0,0,0
Par,Greystone Woods,White,2020-08-07 17:23,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-08-07 17:23,52,3,3,5,4,4,3,2,3,2,3,3,5,4,2,6,3,0,0,0
Alex,Greystone Woods,White,2020-08-07 17:23,55,6,3,4,7,3,4,3,3,4,3,3,4,3,3,5,3,0,0,0
Dan,Greystone Woods,White,2020-08-07 17:23,55,6,2,5,5,4,2,4,2,2,5,3,5,4,4,5,3,0,0,0
Carolann,Greystone Woods,White,2020-08-07 17:23,70,21,4,7,6,5,4,4,4,4,4,3,7,4,3,7,4,0,0,0
